2020 RECS Variable and Response Codebook,,,,,
Variable,Type,Description and Labels,Response Codes,Section,
DOEID,Num,Unique identifier for each respondent,100001-118496,ADMIN,
REGIONC,Char,Census Region,"Midwest
Northeast
South
West",GEOGRAPHY,
DIVISION,Char,"Census Division, Mountain Division is divided into North and South for RECS purposes","East North Central
East South Central
Middle Atlantic
Mountain North
Mountain South
New England
Pacific
South Atlantic
West North Central
West South Central",GEOGRAPHY,
STATE_FIPS,Char,State Federal Information Processing System Code,state_dictionary!A1,GEOGRAPHY,
state_postal,Char,State Postal Code,state_dictionary!A1,GEOGRAPHY,
state_name,Char,State Name,state_dictionary!A1,GEOGRAPHY,
BA_climate,Char,Building America Climate Zone,"Cold
Hot-Dry
Hot-Humid
Marine
Mixed-Dry
Mixed-Humid
Subarctic
Very-Cold",ADMIN,
IECC_climate_code,Char,2012 International Energy Conservation Code climate code,"1A
2A
2B
3A
3B
3C
4A
4B
4C
5A
5B
5C
6A
6B
7A
7AK
7B
8AK",ADMIN,
UATYP10,Char,2010 Census Urban Type Code,"C Urban cluster
R Rural area
U Urban area",ADMIN,
HDD65,Num,"Heating degree days in 2020, base temperature 65F; Derived from the weighted temperatures of nearby weather stations",0-17383,WEATHER,
CDD65,Num,"Cooling degree days in 2020, base temperature 65F; Derived from the weighted temperatures of nearby weather stations",0-5534,WEATHER,
HDD30YR_pub,Num,"Heating degree days, 30-year average 1981-2010, base temperature 65F; Taken from nearest weather station, inoculated with random errors",0-16071,WEATHER,
CDD30YR_pub,Num,"Cooling degree days, 30-year average 1981-2010, base temperature 65F; Taken from nearest weather station, inoculated with random errors",0-4905,WEATHER,
TYPEHUQ,Num,Type of housing unit,"1 Mobile home
2 Single-family house detached from any other house 
3 Single-family house attached to one or more other houses (for example: duplex, row house, or townhome)
4 Apartment in a building with 2 to 4 units
5 Apartment in a building with 5 or more units",YOUR HOME,
CELLAR,Num,Housing unit over a basement,"1 Yes
0 No
-2 Not applicable",YOUR HOME,
CRAWL,Num,Housing unit over a crawlspace,"1 Yes
0 No
-2 Not applicable",YOUR HOME,
CONCRETE,Num,Housing unit over a concrete slab,"1 Yes
0 No
-2 Not applicable",YOUR HOME,
BASEOTH,Num,Housing unit over some other foundation,"1 Yes
0 No
-2 Not applicable",YOUR HOME,
BASEFIN,Num,Finished basement,"1 Yes
0 No
-2 Not applicable",YOUR HOME,
ATTIC,Num,Attic above the housing unit,"1 Yes
0 No
-2 Not applicable",YOUR HOME,
ATTICFIN,Num,Finished attic,"1 Yes
0 No
-2 Not applicable",YOUR HOME,
STORIES,Num,Number of stories in a single-family home,"1 One story
2 Two stories
3 Three stories
4 Four or more stories
5 Split-level
-2 Not applicable",YOUR HOME,
PRKGPLC1,Num,Attached garage,"1 Yes
0 No
-2 Not applicable",YOUR HOME,
SIZEOFGARAGE,Num,Size of attached garage,"1 One-car garage
2 Two-car garage
3 Three-or-more-car garage
-2 Not applicable",YOUR HOME,
KOWNRENT,Num,Own or rent,"1 Own
2 Rent
3 Occupy without payment of rent",YOUR HOME,
YEARMADERANGE,Num,Range when housing unit was built,"1 Before 1950
2 1950 to 1959
3 1960 to 1969
4 1970 to 1979
5 1980 to 1989
6 1990 to 1999
7 2000 to 2009
8 2010 to 2015
9 2016 to 2020",YOUR HOME,
BEDROOMS,Num,Number of bedrooms (top-coded),0 - 6 ,YOUR HOME,
NCOMBATH,Num,Number of full bathrooms (top-coded),0 - 4,YOUR HOME,
NHAFBATH,Num,Number of half bathrooms (top-coded),0 - 2,YOUR HOME,
OTHROOMS,Num,Number of other rooms (top-coded),1 - 9,YOUR HOME,
TOTROOMS,Num,"Total number of rooms in the housing unit, excluding bathrooms; a derived variable",1-15,YOUR HOME,
STUDIO,Num,Studio apartment; a derived variable,"1 Yes
0 No
-2 Not applicable",YOUR HOME,
WALLTYPE,Num,Major outside wall material,"1 Brick
2 Wood
3 Siding (aluminum, fiber cement, vinyl, or steel) 
4 Stucco
5 Shingle (composition)
6 Stone 
7 Concrete block 
99 Other",YOUR HOME,
ROOFTYPE,Num,Major roofing material; 'Not applicable' applies to apartment buildings with 5 or more units,"1 Ceramic or clay tiles
2 Wood shingles/shakes
3 Metal
4 Slate or synthetic slate
5 Shingles (composition or asphalt)
6 Concrete tiles
99 Other
-2 Not applicable",YOUR HOME,
HIGHCEIL,Num,Any high ceilings; 'Not applicable' applies to mobile homes,"1 Yes
0 No
-2 Not applicable",YOUR HOME,
DOOR1SUM,Num,Number of sliding glass or French doors,0 - 9,YOUR HOME,
WINDOWS,Num,Number of windows,"1 1 or 2 windows
2 3 to 5 windows
3 6 to 9 windows
4 10 to 15 windows
5 16 to 19 windows
6 20 to 29 windows
7 30 or more windows",YOUR HOME,
TYPEGLASS,Num,Type of glass in most windows,"1 Single-pane glass
2 Double-pane glass
3 Triple-pane glass",YOUR HOME,
ORIGWIN,Num,Mostly original windows in home,"1 Yes
0 No",YOUR HOME,
WINFRAME,Num,Window frame material,"1 Wood
2 Metal (aluminum)
3 Vinyl
4 Composite
5 Fiberglass",YOUR HOME,
TREESHAD,Num,Any large shade trees,"1 Yes
0 No",YOUR HOME,
ADQINSUL,Num,Level of insulation; respondent-reported,"1 Well insulated
2 Adequately insulated
3 Poorly insulated
4 Not insulated",YOUR HOME,
DRAFTY,Num,How often home is drafty,"1 All the time
2 Most of the time
3 Some of the time
4 Never",YOUR HOME,
UGASHERE,Num,Natural gas available in neighborhood; respondent-reported,"1 Yes
0 No",YOUR HOME,
SWIMPOOL,Num,Has swimming pool,"1 Yes
0 No
-2 Not applicable",YOUR HOME,
MONPOOL,Num,Months swimming pool used in the past year,"0 - 12
-2  Not applicable",YOUR HOME,
POOLPUMP,Num,Has variable-speed pool pump,"1 Yes
0 No
-2 Not applicable",YOUR HOME,
FUELPOOL,Num,Fuel used for heating swimming pool,"0 None, swimming pool is not heated
5 Electricity
1 Natural gas from underground pipes
2 Propane (bottled gas)
3 Fuel oil
99 Other 
-2 Not applicable",YOUR HOME,
RECBATH,Num,Have hot tub,"1 Yes
0 No",YOUR HOME,
MONTUB,Num,Months hot tub used in the past year,"0 - 12
-2  Not applicable",YOUR HOME,
FUELTUB,Num,Fuel used for heating hot tub,"5 Electricity
1 Natural gas from underground pipes
2 Propane (bottled gas)
3 Fuel oil
99 Other 
-2 Not applicable",YOUR HOME,
NUMFRIG,Num,Number of refrigerators used,0 - 9,APPLIANCES,
SIZRFRI1,Num,Size of most-used refrigerator,"1 Half-size or compact
2 Small (17.5 cubic feet or less)
3 Medium (17.6 to 22.5 cubic feet)
4 Large (22.6 to 29.5 cubic feet)
5 Very large (bigger than 29.5 cubic feet)
-2 Not applicable",APPLIANCES,
TYPERFR1,Num,Door arrangement of most-used refrigerator,"1 One door
2 Two doors, freezer next to the refrigerator
3 Two doors, freezer above the refrigerator
4 Two doors, freezer below the refrigerator
5 Three or more doors 
-2 Not applicable",APPLIANCES,
AGERFRI1,Num,Age of most-used refrigerator,"1 Less than 2 years old
2 2 to 4 years old
3 5 to 9 years old
4 10 to 14 years old
5 15 to 19 years old
6 20 or more years old
-2 Not applicable",APPLIANCES,
ICE,Num,Have through-the-door ice on most-used refrigerator,"1 Yes
0 No
-2 Not applicable",APPLIANCES,
SIZRFRI2,Num,Size of second-most-used refrigerator,"1 Half-size or compact
2 Small (17.5 cubic feet or less)
3 Medium (17.6 to 22.5 cubic feet)
4 Large (22.6 to 29.5 cubic feet)
5 Very large (bigger than 29.5 cubic feet)
-2 Not applicable",APPLIANCES,
TYPERFR2,Num,Door arrangement of second-most-used refrigerator,"1 One door
2 Two doors, freezer next to the refrigerator
3 Two doors, freezer above the refrigerator
4 Two doors, freezer below the refrigerator
5 Three or more doors 
-2 Not applicable",APPLIANCES,
AGERFRI2,Num,Age of second-most-used refrigerator,"1 Less than 2 years old
2 2 to 4 years old
3 5 to 9 years old
4 10 to 14 years old
5 15 to 19 years old
6 20 or more years old
-2 Not applicable",APPLIANCES,
LOCRFRI2,Num,Location of second-most-used refrigerator,"1 Basement
2 Garage
3 Outside
4 Main living area
99 Other 
-2 Not applicable",APPLIANCES,
WINECHILL,Num,Has wine chiller,"1 Yes
0 No",APPLIANCES,
NUMFREEZ,Num,Number of separate freezers used,0 - 8,APPLIANCES,
UPRTFRZR,Num,Door arrangement of most-used freezer,"1 Upright
2 Chest
-2 Not applicable",APPLIANCES,
SIZFREEZ,Num,Size of most-used freezer,"1 Half-size or compact
2 Small (17.5 cubic feet or less)
3 Medium (17.6 to 22.5 cubic feet)
4 Large (22.6 to 29.5 cubic feet)
5 Very large (bigger than 29.5 cubic feet)
-2 Not applicable",APPLIANCES,
FREEZER,Num,Defrosting type of most-used freezer,"1 Manual
2 Automatic
-2 Not applicable",APPLIANCES,
AGEFRZR,Num,Age of most-used freezer,"1 Less than 2 years old
2 2 to 4 years old
3 5 to 9 years old
4 10 to 14 years old
5 15 to 19 years old
6 20 or more years old
-2 Not applicable",APPLIANCES,
RANGE,Num,Number of ranges (single appliance with both a cooktop and an oven),0 - 2,APPLIANCES,
COOKTOP,Num,Number of separate cooktops,0 - 2,APPLIANCES,
OVEN,Num,Number of wall ovens,0 - 3,APPLIANCES,
RANGEFUEL,Num,Fuel used by range,"5 Electricity
1 Natural gas from underground pipes
2 Propane (bottled gas)
13 Electricity and gas (dual-fuel range) 
-2 Not applicable",APPLIANCES,
RANGEINDT,Num,Range has induction cooktop,"1 Yes
0 No
-2 Not applicable",APPLIANCES,
RCOOKUSE,Num,Frequency of use of cooktop part of range per week,"0 - 21
-2  Not applicable",APPLIANCES,
ROVENUSE,Num,Frequency of use of oven part of range per week,"0 - 21
-2  Not applicable",APPLIANCES,
COOKTOPFUEL,Num,Fuel used by separate cooktop,"5 Electricity
1 Natural gas from underground pipes
2 Propane (bottled gas)
-2 Not applicable",APPLIANCES,
COOKTOPINDT,Num,Separate cooktop is induction,"1 Yes
0 No
-2 Not applicable",APPLIANCES,
COOKTOPUSE,Num,Frequency of separate cooktop use per week,"0 - 21
-2  Not applicable",APPLIANCES,
OVENFUEL,Num,Fuel used by wall oven,"5 Electricity
1 Natural gas from underground pipes
2 Propane (bottled gas)
-2 Not applicable",APPLIANCES,
OVENUSE,Num,Frequency of wall oven use per week,"0 - 21
-2  Not applicable",APPLIANCES,
MICRO,Num,Number of microwaves ,0 - 3,APPLIANCES,
AMTMICRO,Num,Frequency of microwave use per week,"0 - 70
-2  Not applicable",APPLIANCES,
OUTGRILLFUEL,Num,Fuel used by outdoor grill,"1 Yes, natural gas grill
2 Yes, propane grill
23 Yes, charcoal grill
-2 No grill (Not applicable)",APPLIANCES,
OUTGRILL,Num,Outdoor grill used; a derived variable,"1 Yes
0 No",APPLIANCES,
NUMMEAL,Num,Frequency hot meals are cooked,"1 Three or more times a day
2 Two times a day
3 Once a day
4 A few times each week
5 About once a week
6 Less than once a week
0 Never",APPLIANCES,
USECOFFEE,Num,How often electric coffee maker is used per week,"1 Every day or almost every day
2 A few times each week
3 Only occasionally
0 Does not have or does not use coffee maker in home",APPLIANCES,
TOAST,Num,Toaster used at least once per week,"1 Yes
0 No",APPLIANCES,
TOASTOVN,Num,Toaster oven used at least once per week,"1 Yes
0 No",APPLIANCES,
CROCKPOT,Num,Crock-Pot or slow cooker used at least once per week,"1 Yes
0 No",APPLIANCES,
PRSSCOOK,Num,Instant Pot or electric pressure cooker used at least once per week,"1 Yes
0 No",APPLIANCES,
RICECOOK,Num,Rice cooker used at least once per week,"1 Yes
0 No",APPLIANCES,
BLENDER,Num,Blender or juicer used at least once per week,"1 Yes
0 No",APPLIANCES,
APPOTHER,Num,Any other small kitchen appliance used at least once per week,"1 Yes
0 No",APPLIANCES,
ELFOOD,Num,Electricity used for cooking; a derived variable,"1 Yes
0 No",APPLIANCES,
LPCOOK,Num,Propane used for cooking; a derived variable,"1 Yes
0 No",APPLIANCES,
UGCOOK,Num,Natural gas used for cooking; a derived variable,"1 Yes
0 No",APPLIANCES,
DISHWASH,Num,Has dishwasher,"1 Yes
0 No",APPLIANCES,
DWASHUSE,Num,Frequency of dishwasher use per week,"0 - 21
-2  Not applicable",APPLIANCES,
DWCYCLE,Num,Dishwasher cycle type,"1 Normal cycle without heated dry
2 Normal cycle with heated dry
3 Heavy or “pots and pans” cycle
4 Light or delicate cycle
5 Energy saver cycle
6 Quick cycle
-2 Not applicable",APPLIANCES,
AGEDW,Num,Age of dishwasher,"1 Less than 2 years old
2 2 to 4 years old
3 5 to 9 years old
4 10 to 14 years old
5 15 to 19 years old
6 20 or more years old
-2 Not applicable",APPLIANCES,
CWASHER,Num,Has clothes washer in home,"1 Yes
0 No",APPLIANCES,
TOPFRONT,Num,Top- or front-loading clothes washer,"1 Top-loading
2 Front-loading
-2 Not applicable",APPLIANCES,
WASHLOAD,Num,Frequency of clothes washer use per week,"0 - 30
-2  Not applicable",APPLIANCES,
WASHTEMP,Num,Water temperature used for clothes washer wash cycle,"1 Hot
2 Warm
3 Cold 
-2 Not applicable",APPLIANCES,
AGECWASH,Num,Age of clothes washer,"1 Less than 2 years old
2 2 to 4 years old
3 5 to 9 years old
4 10 to 14 years old
5 15 to 19 years old
6 20 or more years old
-2 Not applicable",APPLIANCES,
DRYER,Num,Has clothes dryer in home,"1 Yes
0 No",APPLIANCES,
DRYRFUEL,Num,Fuel used by clothes dryer,"5 Electricity
1 Natural gas from underground pipes
2 Propane (bottled gas)
-2 Not applicable",APPLIANCES,
DRYRUSE,Num,Frequency of clothes dryer use per week,"0 - 30
-2  Not applicable",APPLIANCES,
AGECDRYER,Num,Age of clothes dryer,"1 Less than 2 years old
2 2 to 4 years old
3 5 to 9 years old
4 10 to 14 years old
5 15 to 19 years old
6 20 or more years old
-2 Not applicable",APPLIANCES,
TVCOLOR,Num,Number of televisions used,0 - 14,ELECTRONICS,
TVSIZE1,Num,Size of most-used TV,"1 27 inches or less
2 28 to 39 inches
3 40 to 59 inches
4 60 inches or more
-2 Not applicable",ELECTRONICS,
TVTYPE1,Num,Display type of most-used TV,"1 LED or OLED
2 LCD
3 Plasma
4 Projection
5 Tube (non-flat screen)
-2 Not applicable",ELECTRONICS,
TVUSE1,Num,Main use of most-used TV,"1 Watching live programming
2 Watching recorded or on-demand programming from a set-top box
3 Streaming content via built-in smart TV apps
4 Streaming content via a separate streaming device connected to the television
5 Playing video games
99 Other 
-2 Not applicable",ELECTRONICS,
TVONWD1,Num,Most-used TV usage on weekdays in hours per day,"0-24 (whole numbers)
0.5 Less than one hour
-2 Not applicable",ELECTRONICS,
TVONWE1,Num,Most-used TV usage on weekends in hours per day,"0-24 (whole numbers)
0.5 Less than one hour
-2 Not applicable",ELECTRONICS,
TVSIZE2,Num,Size of second-most-used TV,"1 27 inches or less
2 28 to 39 inches
3 40 to 59 inches
4 60 inches or more
-2 Not applicable",ELECTRONICS,
TVTYPE2,Num,Display type of second-most-used TV,"1 LED or OLED
2 LCD
3 Plasma
4 Projection
5 Tube (non-flat screen)
-2 Not applicable",ELECTRONICS,
TVUSE2,Num,Main use of second-most-used TV,"1 Watching live programming
2 Watching recorded or on-demand programming from a set-top box
3 Streaming content via built-in smart TV apps
4 Streaming content via a separate streaming device connected to the television
5 Playing video games
99 Other 
-2 Not applicable",ELECTRONICS,
TVONWD2,Num,Second-most-used TV usage on weekdays in hours per day,"0-24 (whole numbers)
0.5 Less than one hour
-2 Not applicable",ELECTRONICS,
TVONWE2,Num,Second-most-used TV usage on weekends in hours per day,"0-24 (whole numbers)
0.5 Less than one hour
-2 Not applicable",ELECTRONICS,
TVSIZE3,Num,Third-most-used TV size,"1 27 inches or less
2 28 to 39 inches
3 40 to 59 inches
4 60 inches or more
-2 Not applicable",ELECTRONICS,
TVTYPE3,Num,Display type of third-most-used TV,"1 LED or OLED
2 LCD
3 Plasma
4 Projection
5 Tube (non-flat screen)
-2 Not applicable",ELECTRONICS,
TVUSE3,Num,Main use of third-most-used TV,"1 Watching live programming
2 Watching recorded or on-demand programming from a set-top box
3 Streaming content via built-in smart TV apps
4 Streaming content via a separate streaming device connected to the television
5 Playing video games
99 Other 
-2 Not applicable",ELECTRONICS,
TVONWD3,Num,Third-most-used TV usage on weekdays in hours per day,"0-24 (whole numbers)
0.5 Less than one hour
-2 Not applicable",ELECTRONICS,
TVONWE3,Num,Third-most-used TV usage on weekends in hours per day,"0-24 (whole numbers)
0.5 Less than one hour
-2 Not applicable",ELECTRONICS,
CABLESAT,Num,Number of cable or satellite boxes without DVR used,"0 - 12
-2  Not applicable",ELECTRONICS,
COMBODVR,Num,Number of cable or satellite boxes with DVR used,"0 - 10
-2  Not applicable",ELECTRONICS,
SEPDVR,Num,Number of separate DVRs used,"0 - 6
-2  Not applicable",ELECTRONICS,
INTSTREAM,Num,Number of over-the-top internet streaming devices for TV used,"0 - 10
-2  Not applicable",ELECTRONICS,
PLAYSTA,Num,Number of video game consoles used,"0 - 8
-2  Not applicable",ELECTRONICS,
DVD,Num,Number of DVD or Blu-ray players used,"0 - 6
-2  Not applicable",ELECTRONICS,
VCR,Num,Number of VCRs used,"0 - 5
-2  Not applicable",ELECTRONICS,
TVAUDIOSYS,Num,Number of home theater or audio systems used,"0 - 5
-2  Not applicable",ELECTRONICS,
DESKTOP,Num,Number of desktop computers used,0 - 8,ELECTRONICS,
NUMLAPTOP,Num,Number of laptop computers used,0 - 20,ELECTRONICS,
NUMTABLET,Num,Number of tablet computers or e-readers used,0 - 10,ELECTRONICS,
ELPERIPH,Num,"Number of printers, scanners, fax machines, or copiers used",0 - 10,ELECTRONICS,
NUMSMPHONE,Num,Number of smartphones used,0 - 11,ELECTRONICS,
CELLPHONE,Num,Number of other cell phones used,0 - 12,ELECTRONICS,
TELLWORK,Num,Any household member teleworking,"1 Yes
0 No",ELECTRONICS,
TELLDAYS,Num,Number of days teleworking in the past week,"0 - 7
-2  Not applicable",ELECTRONICS,
TLDESKTOP,Num,Desktop computer used for teleworking,"1 Yes
0 No
-2 Not applicable",ELECTRONICS,
TLLAPTOP,Num,Laptop computer used for teleworking,"1 Yes
0 No
-2 Not applicable",ELECTRONICS,
TLTABLET,Num,Tablet used for teleworking,"1 Yes
0 No
-2 Not applicable",ELECTRONICS,
TLMONITOR,Num,External monitor used for teleworking,"1 Yes
0 No
-2 Not applicable",ELECTRONICS,
TLOTHER,Num,Any other computer equipment used for teleworking,"1 Yes
0 No
-2 Not applicable",ELECTRONICS,
ONLNEDUC,Num,Any household member receiving online K-12 distance learning or online college courses,"1 Yes
0 No",ELECTRONICS,
INTERNET,Num,Internet access at home,"1 Yes, by paying a cell phone company or Internet service provider
2 Yes, without paying a cell phone company or Internet service provider
0 No access to the Internet",ELECTRONICS,
INTYPECELL,Num,Have Internet access using cellular data,"1 Yes
0 No
-2 Not applicable",ELECTRONICS,
INTYPEBROAD,Num,Have Internet access using broadband service,"1 Yes
0 No
-2 Not applicable",ELECTRONICS,
INTYPEOTH,Num,"Have Internet access using satellite, dial-up, or other service","1 Yes
0 No
-2 Not applicable",ELECTRONICS,
SMARTSPK,Num,Number of smart speakers,"0 - 9
-2  Not applicable",ELECTRONICS,
SSLIGHT,Num,Use smart speakers to control lighting,"1 Yes
0 No
-2 Not applicable",ELECTRONICS,
SSTEMP,Num,Use smart speakers to control temperature,"1 Yes
0 No
-2 Not applicable",ELECTRONICS,
SSSECURE,Num,"Use smart speakers to control security system, cameras, or locks","1 Yes
0 No
-2 Not applicable",ELECTRONICS,
SSTV,Num,Use smart speakers to control TV or peripherals,"1 Yes
0 No
-2 Not applicable",ELECTRONICS,
SSOTHER,Num,Use smart speakers to control some other device,"1 Yes
0 No
-2 Not applicable",ELECTRONICS,
HEATHOME,Num,Space heating equipment used,"1 Yes
0 No",SPACE HEATING,
DNTHEAT,Num,"No space heating equipment, or unused space heating equipment; a derived variable","1  Has space heating equipment, but does not use it
2  Does not have any space heating equipment
-2 Not applicable",SPACE HEATING,
HEATAPT,Num,Main heating equipment serves multiple housing units in building,"1 Yes
0 No
-2 Not applicable",SPACE HEATING,
EQUIPM,Num,Main space heating equipment type,"3 Central furnace 
2 Steam or hot water system with radiators or pipes 
4 Central heat pump
13 Ductless heat pump, also known as a “mini-split”
5 Built-in electric units installed in walls, ceilings, baseboards, or floors
7 Built-in room heater burning gas or oil
8 Wood or pellet stove 
10 Portable electric heaters
99 Other 
-2 Not applicable",SPACE HEATING,
FUELHEAT,Num,Main space heating fuel,"5 Electricity
1 Natural gas from underground pipes
2 Propane (bottled gas)
3 Fuel oil
7 Wood or pellets
99 Other
-2 Not applicable",SPACE HEATING,
EQUIPAGE,Num,Age of main space heating equipment,"1 Less than 2 years old
2 2 to 4 years old
3 5 to 9 years old
4 10 to 14 years old
5 15 to 19 years old
6 20 or more years old
-2 Not applicable",SPACE HEATING,
GEOHP,Num,Main central heat pump is geothermal or ground source,"1 Yes
0 No
-2 Not applicable",SPACE HEATING,
EQUIPAUXTYPE,Num,Secondary space heating equipment type,"0 Home is heated but no secondary equipment used
10 Portable electric heaters
9 Fireplace
8 Wood or pellet stove
5 Built-in electric units installed in walls, ceilings, baseboards, or floors
13 Ductless heat pump, also known as a “mini-split”
99 Other 
-2 Not applicable, home is not heated",SPACE HEATING,
EQUIPAUX,Num,Secondary space heating equipment used; a derived variable,"1 Yes
0 No, home is heated but secondary equipment not used
-2 Not applicable, home is not heated",SPACE HEATING,
FUELAUX,Num,Secondary space heating fuel,"5 Electricity
1 Natural gas from underground pipes
2 Propane (bottled gas)
3 Fuel oil
7 Wood or pellets
99 Other
-2 Not applicable",SPACE HEATING,
USEEQUIPAUX,Num,Secondary heating equipment usage,"1 Use all or almost all of the time
2 Use at least once per week
3 Use a few times per month
4 Use only when it is very cold
5 Use only in rare situations, such as when a guest is visiting
-2 Not applicable",SPACE HEATING,
NUMPORTEL,Num,Number of portable electric heaters used,"1 - 9
-2 Not applicable",SPACE HEATING,
NUMFIREPLC,Num,Number of fireplaces used,"1 - 7
-2 Not applicable",SPACE HEATING,
NUMDLHP,Num,Number of ductless heat pump units used for heating,"1 - 8
-2 Not applicable",SPACE HEATING,
BASEHEAT,Num,Heating used in basement,"1 Yes
0 No
-2 Not applicable",SPACE HEATING,
ATTCHEAT,Num,Heating used in attic,"1 Yes
0 No
-2 Not applicable",SPACE HEATING,
GARGHEAT,Num,Heating used in attached garage,"1 Yes
0 No
-2 Not applicable",SPACE HEATING,
HUMIDTYPE,Num,Type of humidifier used,"1 Yes, a portable humidifier
2 Yes, a whole-home humidifier
0 No",SPACE HEATING,
NUMPORTHUM,Num,Number of portable humidifiers used,"1 - 8
-2 Not applicable",SPACE HEATING,
USEHUMID,Num,Humidifier household usage,"1 Use only occasionally, such as when someone in the household is sick 
2 Use only during winter months
3 Use about half of the year
4 Use all or almost all of the year
99 Other 
-2 Not applicable",SPACE HEATING,
ELWARM,Num,Electricity used for space heating; a derived variable,"1 Yes
0 No",SPACE HEATING,
UGWARM,Num,Natural gas used for space heating; a derived variable,"1 Yes
0 No",SPACE HEATING,
LPWARM,Num,Propane used for space heating; a derived variable,"1 Yes
0 No",SPACE HEATING,
FOWARM,Num,Fuel oil used for space heating; a derived variable,"1 Yes
0 No",SPACE HEATING,
WDWARM,Num,Wood used for space heating; a derived variable,"1 Yes
0 No",SPACE HEATING,
AIRCOND,Num,Air conditioning equipment used,"1 Yes
0 No",AIR CONDITIONING,
COOLAPT,Num,Main air conditioning equipment serves multiple housing units in building,"1 Yes
0 No
-2 Not applicable",AIR CONDITIONING,
