2020 RECS Variable and Response Codebook,,,,,
ZSQFTRANGE,Num,Imputation indicator for SQFTRANGE,"1 Imputed
0 Not imputed",YOUR HOME,
ZSSLIGHT,Num,Imputation indicator for SSLIGHT,"1 Imputed
0 Not imputed
-2 Not applicable",ELECTRONICS,
ZSSOTHER,Num,Imputation indicator for SSOTHER,"1 Imputed
0 Not imputed
-2 Not applicable",ELECTRONICS,
ZSSSECURE,Num,Imputation indicator for SSSECURE,"1 Imputed
0 Not imputed
-2 Not applicable",ELECTRONICS,
ZSSTEMP,Num,Imputation indicator for SSTEMP,"1 Imputed
0 Not imputed
-2 Not applicable",ELECTRONICS,
ZSSTV,Num,Imputation indicator for SSTV,"1 Imputed
0 Not imputed
-2 Not applicable",ELECTRONICS,
ZSTORIES,Num,Imputation indicator for STORIES,"1 Imputed
0 Not imputed
-2 Not applicable",YOUR HOME,
ZSWIMPOOL,Num,Imputation indicator for SWIMPOOL,"1 Imputed
0 Not imputed
-2 Not applicable",YOUR HOME,
ZTELLDAYS,Num,Imputation indicator for TELLDAYS,"1 Imputed
0 Not imputed
-2 Not applicable",ELECTRONICS,
ZTELLWORK,Num,Imputation indicator for TELLWORK,"1 Imputed
0 Not imputed",ELECTRONICS,
ZTEMPGONE,Num,Imputation indicator for TEMPGONE,"1 Imputed
0 Not imputed
-2 Not applicable",THERMOSTAT,
ZTEMPGONEAC,Num,Imputation indicator for TEMPGONEAC,"1 Imputed
0 Not imputed
-2 Not applicable",THERMOSTAT,
ZTEMPHOME,Num,Imputation indicator for TEMPHOME,"1 Imputed
0 Not imputed
-2 Not applicable",THERMOSTAT,
ZTEMPHOMEAC,Num,Imputation indicator for TEMPHOMEAC,"1 Imputed
0 Not imputed
-2 Not applicable",THERMOSTAT,
ZTEMPNITE,Num,Imputation indicator for TEMPNITE,"1 Imputed
0 Not imputed
-2 Not applicable",THERMOSTAT,
ZTEMPNITEAC,Num,Imputation indicator for TEMPNITEAC,"1 Imputed
0 Not imputed
-2 Not applicable",THERMOSTAT,
ZTLDESKTOP,Num,Imputation indicator for TLDESKTOP,"1 Imputed
0 Not imputed
-2 Not applicable",ELECTRONICS,
ZTLLAPTOP,Num,Imputation indicator for TLLAPTOP,"1 Imputed
0 Not imputed
-2 Not applicable",ELECTRONICS,
ZTLMONITOR,Num,Imputation indicator for TLMONITOR,"1 Imputed
0 Not imputed
-2 Not applicable",ELECTRONICS,
ZTLOTHER,Num,Imputation indicator for TLOTHER,"1 Imputed
0 Not imputed
-2 Not applicable",ELECTRONICS,
ZTLTABLET,Num,Imputation indicator for TLTABLET,"1 Imputed
0 Not imputed
-2 Not applicable",ELECTRONICS,
ZTOAST,Num,Imputation indicator for TOAST,"1 Imputed
0 Not imputed",APPLIANCES,
ZTOASTOVN,Num,Imputation indicator for TOASTOVN,"1 Imputed
0 Not imputed",APPLIANCES,
ZTOPFRONT,Num,Imputation indicator for TOPFRONT,"1 Imputed
0 Not imputed
-2 Not applicable",APPLIANCES,
ZTREESHAD,Num,Imputation indicator for TREESHAD,"1 Imputed
0 Not imputed",YOUR HOME,
ZTVAUDIOSYS,Num,Imputation indicator for TVAUDIOSYS,"1 Imputed
0 Not imputed
-2 Not applicable",ELECTRONICS,
ZTVCOLOR,Num,Imputation indicator for TVCOLOR,"1 Imputed
0 Not imputed",ELECTRONICS,
ZTVONWD1,Num,Imputation indicator for TVONWD1,"1 Imputed
0 Not imputed
-2 Not applicable",ELECTRONICS,
ZTVONWD2,Num,Imputation indicator for TVONWD2,"1 Imputed
0 Not imputed
-2 Not applicable",ELECTRONICS,
ZTVONWD3,Num,Imputation indicator for TVONWD3,"1 Imputed
0 Not imputed
-2 Not applicable",ELECTRONICS,
ZTVONWE1,Num,Imputation indicator for TVONWE1,"1 Imputed
0 Not imputed
-2 Not applicable",ELECTRONICS,
ZTVONWE2,Num,Imputation indicator for TVONWE2,"1 Imputed
0 Not imputed
-2 Not applicable",ELECTRONICS,
ZTVONWE3,Num,Imputation indicator for TVONWE3,"1 Imputed
0 Not imputed
-2 Not applicable",ELECTRONICS,
ZTVSIZE1,Num,Imputation indicator for TVSIZE1,"1 Imputed
0 Not imputed
-2 Not applicable",ELECTRONICS,
ZTVSIZE2,Num,Imputation indicator for TVSIZE2,"1 Imputed
0 Not imputed
-2 Not applicable",ELECTRONICS,
ZTVSIZE3,Num,Imputation indicator for TVSIZE3,"1 Imputed
0 Not imputed
-2 Not applicable",ELECTRONICS,
ZTVTYPE1,Num,Imputation indicator for TVTYPE1,"1 Imputed
0 Not imputed
-2 Not applicable",ELECTRONICS,
ZTVTYPE2,Num,Imputation indicator for TVTYPE2,"1 Imputed
0 Not imputed
-2 Not applicable",ELECTRONICS,
ZTVTYPE3,Num,Imputation indicator for TVTYPE3,"1 Imputed
0 Not imputed
-2 Not applicable",ELECTRONICS,
ZTVUSE1,Num,Imputation indicator for TVUSE1,"1 Imputed
0 Not imputed
-2 Not applicable",ELECTRONICS,
ZTVUSE2,Num,Imputation indicator for TVUSE2,"1 Imputed
0 Not imputed
-2 Not applicable",ELECTRONICS,
ZTVUSE3,Num,Imputation indicator for TVUSE3,"1 Imputed
0 Not imputed
-2 Not applicable",ELECTRONICS,
ZTYPEGLASS,Num,Imputation indicator for TYPEGLASS,"1 Imputed
0 Not imputed",YOUR HOME,
ZTYPERFR1,Num,Imputation indicator for TYPERFR1,"1 Imputed
0 Not imputed
-2 Not applicable",APPLIANCES,
ZTYPERFR2,Num,Imputation indicator for TYPERFR2,"1 Imputed
0 Not imputed
-2 Not applicable",APPLIANCES,
ZTYPETHERM,Num,Imputation indicator for TYPETHERM,"1 Imputed
0 Not imputed
-2 Not applicable",THERMOSTAT,
ZUGASHERE,Num,Imputation indicator for UGASHERE,"1 Imputed
0 Not imputed",YOUR HOME,
ZUPRTFRZR,Num,Imputation indicator for UPRTFRZR,"1 Imputed
0 Not imputed
-2 Not applicable",APPLIANCES,
ZUSECFAN,Num,Imputation indicator for USECFAN,"1 Imputed
0 Not imputed
-2 Not applicable",AIR CONDITIONING,
ZUSECOFFEE,Num,Imputation indicator for USECOFFEE,"1 Imputed
0 Not imputed",APPLIANCES,
ZUSEDEHUM,Num,Imputation indicator for USEDEHUM,"1 Imputed
0 Not imputed
-2 Not applicable",AIR CONDITIONING,
ZUSEEQUIPAUX,Num,Imputation indicator for USEEQUIPAUX,"1 Imputed
0 Not imputed
-2 Not applicable",SPACE HEATING,
ZUSEHUMID,Num,Imputation indicator for USEHUMID,"1 Imputed
0 Not imputed
-2 Not applicable",SPACE HEATING,
ZVCR,Num,Imputation indicator for VCR,"1 Imputed
0 Not imputed
-2 Not applicable",ELECTRONICS,
ZWALLTYPE,Num,Imputation indicator for WALLTYPE,"1 Imputed
0 Not imputed",YOUR HOME,
ZWASHLOAD,Num,Imputation indicator for WASHLOAD,"1 Imputed
0 Not imputed
-2 Not applicable",APPLIANCES,
ZWASHTEMP,Num,Imputation indicator for WASHTEMP,"1 Imputed
0 Not imputed
-2 Not applicable",APPLIANCES,
ZWHEATAGE,Num,Imputation indicator for WHEATAGE,"1 Imputed
0 Not imputed",WATER HEATING,
ZWHEATBKT,Num,Imputation indicator for WHEATBKT,"1 Imputed
0 Not imputed
-2 Not applicable",WATER HEATING,
ZWHEATSIZ,Num,Imputation indicator for WHEATSIZ,"1 Imputed
0 Not imputed",WATER HEATING,
ZWHYPOWEROUT,Num,Imputation indicator for WHYPOWEROUT,"1 Imputed
0 Not imputed
-2 Not applicable",ENERGY BILLS,
ZWINDOWS,Num,Imputation indicator for WINDOWS,"1 Imputed
0 Not imputed",YOUR HOME,
ZWINECHILL,Num,Imputation indicator for WINECHILL,"1 Imputed
0 Not imputed",APPLIANCES,
ZWINFRAME,Num,Imputation indicator for WINFRAME,"1 Imputed
0 Not imputed",YOUR HOME,
ZYEARMADERANGE,Num,Imputation indicator for YEARMADERANGE,"1 Imputed
0 Not imputed",YOUR HOME,
ZTOTROOMS,Num,Imputation indicator for TOTROOMS,"1 Imputed
0 Not imputed",YOUR HOME,
ZDNTHEAT,Num,Imputation indicator for DNTHEAT,"1 Imputed
0 Not imputed
-2 Not applicable",SPACE HEATING,
ZTYPEHUQ,Num,Imputation indicator for TYPEHUQ,0 Not imputed,YOUR HOME,
ZSTUDIO,Num,Imputation indicator for STUDIO,"1 Imputed
0 Not imputed
-2 Not applicable",YOUR HOME,
ZOUTGRILL,Num,Imputation indicator for OUTGRILL,"1 Imputed
0 Not imputed",APPLIANCES,
ZHOUSEHOLDER_RACE,Num,Imputation indicator for HOUSEHOLDER_RACE,"1 Imputed
0 Not imputed",HOUSEHOLD CHARACTERISTICS,
ZACEQUIPM_pub,Num,Imputation indicator for ACEQUIPM_pub,"1 Imputed
0 Not imputed
-2 Not applicable",AIR CONDITIONING,
ZACEQUIPAUXTYPE_pub,Num,Imputation indicator for ACEQUIPAUXTYPE_pub,"1 Imputed
0 Not imputed
-2 Not applicable",AIR CONDITIONING,
NWEIGHT,Num,Final Analysis Weight,437.9-29279.1,WEIGHTS,
NWEIGHT1,Num,Final Analysis Weight for replicate 1,0-30015.5,WEIGHTS,
NWEIGHT2,Num,Final Analysis Weight for replicate 2,0-29421.7,WEIGHTS,
NWEIGHT3,Num,Final Analysis Weight for replicate 3,0-29431.4,WEIGHTS,
NWEIGHT4,Num,Final Analysis Weight for replicate 4,0-29493.5,WEIGHTS,
NWEIGHT5,Num,Final Analysis Weight for replicate 5,0-30039.3,WEIGHTS,
NWEIGHT6,Num,Final Analysis Weight for replicate 6,0-29419.2,WEIGHTS,
NWEIGHT7,Num,Final Analysis Weight for replicate 7,0-29586.5,WEIGHTS,
NWEIGHT8,Num,Final Analysis Weight for replicate 8,0-29498.7,WEIGHTS,
NWEIGHT9,Num,Final Analysis Weight for replicate 9,0-29844.7,WEIGHTS,
NWEIGHT10,Num,Final Analysis Weight for replicate 10,0-29634.6,WEIGHTS,
NWEIGHT11,Num,Final Analysis Weight for replicate 11,0-29681.4,WEIGHTS,
NWEIGHT12,Num,Final Analysis Weight for replicate 12,0-29848.6,WEIGHTS,
NWEIGHT13,Num,Final Analysis Weight for replicate 13,0-29842.6,WEIGHTS,
NWEIGHT14,Num,Final Analysis Weight for replicate 14,0-30184.4,WEIGHTS,
NWEIGHT15,Num,Final Analysis Weight for replicate 15,0-29969.9,WEIGHTS,
NWEIGHT16,Num,Final Analysis Weight for replicate 16,0-29824.7,WEIGHTS,
NWEIGHT17,Num,Final Analysis Weight for replicate 17,0-30606.1,WEIGHTS,
NWEIGHT18,Num,Final Analysis Weight for replicate 18,0-29689.2,WEIGHTS,
NWEIGHT19,Num,Final Analysis Weight for replicate 19,0-29336.1,WEIGHTS,
NWEIGHT20,Num,Final Analysis Weight for replicate 20,0-30274.2,WEIGHTS,
NWEIGHT21,Num,Final Analysis Weight for replicate 21,0-29766.5,WEIGHTS,
NWEIGHT22,Num,Final Analysis Weight for replicate 22,0-29791.4,WEIGHTS,
NWEIGHT23,Num,Final Analysis Weight for replicate 23,0-30126.3,WEIGHTS,
NWEIGHT24,Num,Final Analysis Weight for replicate 24,0-29946.3,WEIGHTS,
NWEIGHT25,Num,Final Analysis Weight for replicate 25,0-30445.2,WEIGHTS,
NWEIGHT26,Num,Final Analysis Weight for replicate 26,0-29893.3,WEIGHTS,
NWEIGHT27,Num,Final Analysis Weight for replicate 27,0-30029.7,WEIGHTS,
NWEIGHT28,Num,Final Analysis Weight for replicate 28,0-29599.5,WEIGHTS,
NWEIGHT29,Num,Final Analysis Weight for replicate 29,0-30136.0,WEIGHTS,
NWEIGHT30,Num,Final Analysis Weight for replicate 30,0-29895.0,WEIGHTS,
NWEIGHT31,Num,Final Analysis Weight for replicate 31,0-29604.3,WEIGHTS,
NWEIGHT32,Num,Final Analysis Weight for replicate 32,0-29310.0,WEIGHTS,
NWEIGHT33,Num,Final Analysis Weight for replicate 33,0-29408.1,WEIGHTS,
NWEIGHT34,Num,Final Analysis Weight for replicate 34,0-29563.8,WEIGHTS,
NWEIGHT35,Num,Final Analysis Weight for replicate 35,0-30437.1,WEIGHTS,
NWEIGHT36,Num,Final Analysis Weight for replicate 36,0-27896.2,WEIGHTS,
NWEIGHT37,Num,Final Analysis Weight for replicate 37,0-30596.1,WEIGHTS,
NWEIGHT38,Num,Final Analysis Weight for replicate 38,0-30129.9,WEIGHTS,
NWEIGHT39,Num,Final Analysis Weight for replicate 39,0-29261.7,WEIGHTS,
NWEIGHT40,Num,Final Analysis Weight for replicate 40,0-30344.3,WEIGHTS,
NWEIGHT41,Num,Final Analysis Weight for replicate 41,0-29593.8,WEIGHTS,
NWEIGHT42,Num,Final Analysis Weight for replicate 42,0-29938.3,WEIGHTS,
NWEIGHT43,Num,Final Analysis Weight for replicate 43,0-29878.1,WEIGHTS,
NWEIGHT44,Num,Final Analysis Weight for replicate 44,0-29896.1,WEIGHTS,
NWEIGHT45,Num,Final Analysis Weight for replicate 45,0-29729.0,WEIGHTS,
NWEIGHT46,Num,Final Analysis Weight for replicate 46,0-29102.7,WEIGHTS,
NWEIGHT47,Num,Final Analysis Weight for replicate 47,0-30069.6,WEIGHTS,
NWEIGHT48,Num,Final Analysis Weight for replicate 48,0-29343.3,WEIGHTS,
NWEIGHT49,Num,Final Analysis Weight for replicate 49,0-29590.4,WEIGHTS,
NWEIGHT50,Num,Final Analysis Weight for replicate 50,0-30026.6,WEIGHTS,
NWEIGHT51,Num,Final Analysis Weight for replicate 51,0-29246.6,WEIGHTS,
NWEIGHT52,Num,Final Analysis Weight for replicate 52,0-29445.5,WEIGHTS,
NWEIGHT53,Num,Final Analysis Weight for replicate 53,0-30131.5,WEIGHTS,
NWEIGHT54,Num,Final Analysis Weight for replicate 54,0-29439.3,WEIGHTS,
NWEIGHT55,Num,Final Analysis Weight for replicate 55,0-29216.0,WEIGHTS,
NWEIGHT56,Num,Final Analysis Weight for replicate 56,0-29202.9,WEIGHTS,
NWEIGHT57,Num,Final Analysis Weight for replicate 57,0-29818.7,WEIGHTS,
NWEIGHT58,Num,Final Analysis Weight for replicate 58,0-29817.8,WEIGHTS,
NWEIGHT59,Num,Final Analysis Weight for replicate 59,0-29606.4,WEIGHTS,
NWEIGHT60,Num,Final Analysis Weight for replicate 60,0-29818.2,WEIGHTS,
